study,progress_monitoring_method,focal_behavior_outcome,ne,nc,cohens_d_pm,cohens_d_ga,cohens_d_pm_clean,cohens_d_ga_clean
Kim et al. (2012),Website,"Weight, BG",19,23,3.73***b,.29d,3.73,0.29
Webber et al. (2008),Diary,Weight,33,33,.03a,.31d,0.03,0.31
Wing et al. (2006) Comp. 1y,Phone,Weight,103,49,3.82***b,.37d,3.82,0.37
Wing et al. (2006) Comp. 2,Website,Weight,100,49,3.75***b,.04d,3.75,0.04
Wing et al. (2010),Website,Weight,74,76,.16a,.61d,0.16,0.61
Wing et al. (1996) Study 1,Diary,Weight,23,27,3.51***b,.44*d,3.51,0.44
"Young, Medic, & Starkes (2009)",Swim log,PA,15,11,-.71ᵃ,1.00***de,-0.71,1
Sugden et al. (2008),Diary,PA,27,18,.88***,-.04d,0.88,-0.04
Talbot et al. (2003),Pedometer,PA,17,17,3.55***b,.29de,3.55,0.29
Tan et al. (2011),SMBG,BG,82,82,14.46****,.49**°,14.46,0.49
Tate et al. (2001),Website,Weight,33,32,1.09****,.65**d,1.09,0.65
Thorndike et al. (2012),Website,Weight,145,130,3.36***b,.16d,3.36,0.16
Turner-McGrievy & Tate (2011),Phone,Weight,42,45,.22a,.05d,0.22,0.05
Van der Meer et al. (2009),Website,Asthma,91,92,2.46***b,3.80***d,2.46,3.8
Wang et al. (2012),PDA,Weight,59,60,.29a,.46*ᵈ,0.29,0.46
